Country,Framing,Category,Rule,Weight,Matched text,Sentence
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Alongside this, government should consider other measures to accelerate buildout of data centres, such as offering central guidance, creating a bespoke planning useclass and considering the case for Al data centres to be eligible for relevant relief schemes that incentivise private sector investment."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"Mitigate the sustainability and security risks of Al infrastructure, while positioning the UK to take advantage of opportunities to provide solutions."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,enable innovation,"We should seek to responsibly unlock both public and private data sets to enable innovation by UK startups and researchers and to attract international https://www.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 10/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK talent and capital."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,capital,"We should seek to responsibly unlock both public and private data sets to enable innovation by UK startups and researchers and to attract international https://www.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 10/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK talent and capital."
United Kingdom,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,privacy,"Prioritisation should consider the potential economic and social value of the data, as well as public trust, national security, privacy, ethics, and data protection considerations."
United Kingdom,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,data protection,"Prioritisation should consider the potential economic and social value of the data, as well as public trust, national security, privacy, ethics, and data protection considerations."
United Kingdom,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,privacy,We should explore use of synthetic data generation techniques to construct privacy-preserving versions of highly sensitive data sets.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,startup,"Build public sector data collection infrastructure and finance the creation of new high-value datasets that meet public sector, academia and startup needs."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,"1.3 Training, attracting and retaining the next generation of Al scientists and founders If we want the UK to have both world-class Al research and a world-leading Al application ecosystem, we need to be the natural home for elite talent."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,Government should build on this investment and promote diversity throughout the education pipeline.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Open to a diverse initial cohort of 100 scholars from the UK and abroad, the programme would combine financial support, cohort building, industry co-investment, and placements in government or private sector Al organisations."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Safety,Government should build on the success of the Al Safety Institute in attracting top talent.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,Officials will need flexibility to develop specific offers and provide wraparound support to talent targets - recognising that to truly ‘headhunt’ talent the programme will need to be backed by appropriate funding.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"At the same time, funding for 25 more Turing Al Acceleration and Al World-Leading fellowships should be committed to maintain the current cohort size over the next 3 years, as existing fellows graduate from the programme."
United Kingdom,AI-friendly,deregulatory or flexible governance,flexible/proportionate/risk-based regulation,2.0,pro-innovation approach to regulation,"https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 14/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK 1.4 Enabling safe and trusted Al development and adoption through regulation, safety and assurance The UK’s current pro-innovation approach to regulation is a source of strength relative to other more regulated jurisdictions and we should be careful to preserve this."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Enabling safe and trusted Al development and adoption,"https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 14/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK 1.4 Enabling safe and trusted Al development and adoption through regulation, safety and assurance The UK’s current pro-innovation approach to regulation is a source of strength relative to other more regulated jurisdictions and we should be careful to preserve this."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safe,"https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 14/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK 1.4 Enabling safe and trusted Al development and adoption through regulation, safety and assurance The UK’s current pro-innovation approach to regulation is a source of strength relative to other more regulated jurisdictions and we should be careful to preserve this."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 14/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK 1.4 Enabling safe and trusted Al development and adoption through regulation, safety and assurance The UK’s current pro-innovation approach to regulation is a source of strength relative to other more regulated jurisdictions and we should be careful to preserve this."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safe,"Well-designed and implemented regulation, alongside effective assurance tools, can fuel fast, wide and safe development and adoption of Al."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,supporting innovation,Regulators themselves have an important role in supporting innovation as part of their Growth Duty.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Growth,Regulators themselves have an important role in supporting innovation as part of their Growth Duty.
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"Government must protect UK citizens from the most significant risks presented by Al and foster public trust in the technology, particularly considering the interests of marginalised groups."
United Kingdom,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,sandboxes,"Ineffective regulation could hold back adoption in crucial sectors like the medical sector, but regulation, safety and assurance have the power to drive innovation and economic growth too, as shown by the success of regulatory sandboxes in supporting fintech startups and the development of the UK’s cyber security industry.22%9le 12] Clear rules provide clarity to businesses so they have the confidence to invest and bring new products and services to market."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"Ineffective regulation could hold back adoption in crucial sectors like the medical sector, but regulation, safety and assurance have the power to drive innovation and economic growth too, as shown by the success of regulatory sandboxes in supporting fintech startups and the development of the UK’s cyber security industry.22%9le 12] Clear rules provide clarity to businesses so they have the confidence to invest and bring new products and services to market."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,invest,"Ineffective regulation could hold back adoption in crucial sectors like the medical sector, but regulation, safety and assurance have the power to drive innovation and economic growth too, as shown by the success of regulatory sandboxes in supporting fintech startups and the development of the UK’s cyber security industry.22%9le 12] Clear rules provide clarity to businesses so they have the confidence to invest and bring new products and services to market."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"Ineffective regulation could hold back adoption in crucial sectors like the medical sector, but regulation, safety and assurance have the power to drive innovation and economic growth too, as shown by the success of regulatory sandboxes in supporting fintech startups and the development of the UK’s cyber security industry.22%9le 12] Clear rules provide clarity to businesses so they have the confidence to invest and bring new products and services to market."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Safety,"Continue to support and grow the Al Safety Institute (AISI) to maintain and expand its research on model evaluations, foundational safety and societal resilience research."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"Continue to support and grow the Al Safety Institute (AISI) to maintain and expand its research on model evaluations, foundational safety and societal resilience research."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,AISI is the first safety institute to have conducted pre-deployment evaluations of frontier models and its success is a significant and growing source of international influence for the UK.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,Continued investment is needed to ensure AISI retains its position as a worldleader and remains attractive to top Al safety researchers.
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,Continued investment is needed to ensure AISI retains its position as a worldleader and remains attractive to top Al safety researchers.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,competitive,Reform the UK text and data mining regime so that it is at least as competitive as the EU.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"The current uncertainty around intellectual property (IP) is hindering innovation and undermining our broader ambitions for Al, as well as the growth of our creative industries."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support Al innovation,"The EU has moved forward with an approach https://Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 15/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK that is designed to support Al innovation while also enabling rights holders to have control over the use of content they produce."
United Kingdom,AI-cautious,restrictive governance,restrict/prohibit/control AI,2.2,control over the use,"The EU has moved forward with an approach https://Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 15/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK that is designed to support Al innovation while also enabling rights holders to have control over the use of content they produce."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"Commit to funding regulators to scale up their Al capabilities, some of which need urgent addressing."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,scale up,"Commit to funding regulators to scale up their Al capabilities, some of which need urgent addressing."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,Government should also ensure all sponsor departments demonstrate how they are funding this capability within their budgets through the Spending Review process.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,enabling safe Al innovation,Ensure all sponsor departments include a focus on enabling safe Al innovation in their strategic guidance to regulators.
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safe,Ensure all sponsor departments include a focus on enabling safe Al innovation in their strategic guidance to regulators.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,encourage its safe adoption,Al will touch every aspect of the economy and so it is essential that all regulators are prioritising understanding its impacts in their domains and considering how best to encourage its safe adoption.
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safe,Al will touch every aspect of the economy and so it is essential that all regulators are prioritising understanding its impacts in their domains and considering how best to encourage its safe adoption.
United Kingdom,AI-friendly,deregulatory or flexible governance,flexible/proportionate/risk-based regulation,2.0,pro-innovation initiatives like regulatory,Work with regulators to accelerate Al in priority sectors and implement pro-innovation initiatives like regulatory sandboxes.
United Kingdom,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,sandboxes,Work with regulators to accelerate Al in priority sectors and implement pro-innovation initiatives like regulatory sandboxes.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,accelerate Al in priority sectors and implement pro-innovation,Work with regulators to accelerate Al in priority sectors and implement pro-innovation initiatives like regulatory sandboxes.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"These should be targeted in areas with regulatory challenges but high-growth potential, such as products which integrate Al into the physical world like autonomous vehicles, drones and robotics."
United Kingdom,AI-cautious,regulation as necessary,regulation required or necessary,2.5,should be targeted in areas with regulatory,"These should be targeted in areas with regulatory challenges but high-growth potential, such as products which integrate Al into the physical world like autonomous vehicles, drones and robotics."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,Require all regulators to publish annually how they have enabled Innovation and growth driven by Al in their sector.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,promote innovation,"Even with these initiatives, individual regulators may still lack the incentives to promote innovation at the scale of the government's ambition."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,promote innovation,"If evidence demonstrates that is the case, government should consider more radical changes to our regulatory model for Al, for example by empowering a central body with a mandate and higher risk tolerance to promote innovation across the economy."
United Kingdom,AI-cautious,regulation as necessary,regulation required or necessary,2.5,should consider more radical changes to our regulatory,"If evidence demonstrates that is the case, government should consider more radical changes to our regulatory model for Al, for example by empowering a central body with a mandate and higher risk tolerance to promote innovation across the economy."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,"If evidence demonstrates that is the case, government should consider more radical changes to our regulatory model for Al, for example by empowering a central body with a mandate and higher risk tolerance to promote innovation across the economy."
United Kingdom,AI-friendly,deregulatory or flexible governance,regulatory sandbox,1.8,sandbox,"Such a body could have expertise and statutory powers to issue pilot sandbox licences for Al products that override sector regulations, taking on liability for all related risks."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risks,"Such a body could have expertise and statutory powers to issue pilot sandbox licences for Al products that override sector regulations, taking on liability for all related risks."
United Kingdom,AI-friendly,deregulatory or flexible governance,flexible/proportionate/risk-based regulation,2.0,pro-innovation regulation,"Alongside investing in pro-innovation regulation, the government should: 29."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investing,"Alongside investing in pro-innovation regulation, the government should: 29."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,Support the Al assurance ecosystem to increase trust and adoption,"Support the Al assurance ecosystem to increase trust and adoption by: e Investing significantly in the development of new assurance tools, including through an expansion to AISI’s systemic Al safety fast grants programme, to support emerging safety research and methods."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Investing,"Support the Al assurance ecosystem to increase trust and adoption by: e Investing significantly in the development of new assurance tools, including through an expansion to AISI’s systemic Al safety fast grants programme, to support emerging safety research and methods."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,"Support the Al assurance ecosystem to increase trust and adoption by: e Investing significantly in the development of new assurance tools, including through an expansion to AISI’s systemic Al safety fast grants programme, to support emerging safety research and methods."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"Support the Al assurance ecosystem to increase trust and adoption by: e Investing significantly in the development of new assurance tools, including through an expansion to AISI’s systemic Al safety fast grants programme, to support emerging safety research and methods."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"Support the Al assurance ecosystem to increase trust and adoption by: e Investing significantly in the development of new assurance tools, including through an expansion to AISI’s systemic Al safety fast grants programme, to support emerging safety research and methods."
United Kingdom,AI-cautious,rights and protection emphasis,rights/privacy/protection framing,1.1,trustworthy,"Change lives by embracing Al 2.1 Al Adoption is core to delivering the government’s missions The adoption of high-performing, trustworthy Al at scale will be critical to the government fulfilling the five missions (https://www.gov.uk/missions)."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"Al should become core to how we think about delivering services, transforming citizens’ experiences, and improving productivity."
United Kingdom,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,Remove adoption barriers,"As well as strengthening the foundations - data, skills, talent, IP, and assurance measures set out above - government should also focus on its role as a major user and customer of Al and how it uses its powers to catalyse private sector adoption: Adoption missions Public sector Public and private sector Private-sector users Adopt Al Scan->Pilot->Scale approach to deliver step-change in public-service quality 2 : Reinforce each other to amplify impact across the ecosystem ; ; Remove adoption barriers to drive growth and productivity Though we are still early in the development of the Al application layer - and all Al use should be tailored appropriately to the specific setting or sector in which it will be deployed."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"As well as strengthening the foundations - data, skills, talent, IP, and assurance measures set out above - government should also focus on its role as a major user and customer of Al and how it uses its powers to catalyse private sector adoption: Adoption missions Public sector Public and private sector Private-sector users Adopt Al Scan->Pilot->Scale approach to deliver step-change in public-service quality 2 : Reinforce each other to amplify impact across the ecosystem ; ; Remove adoption barriers to drive growth and productivity Though we are still early in the development of the Al application layer - and all Al use should be tailored appropriately to the specific setting or sector in which it will be deployed."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"As well as strengthening the foundations - data, skills, talent, IP, and assurance measures set out above - government should also focus on its role as a major user and customer of Al and how it uses its powers to catalyse private sector adoption: Adoption missions Public sector Public and private sector Private-sector users Adopt Al Scan->Pilot->Scale approach to deliver step-change in public-service quality 2 : Reinforce each other to amplify impact across the ecosystem ; ; Remove adoption barriers to drive growth and productivity Though we are still early in the development of the Al application layer - and all Al use should be tailored appropriately to the specific setting or sector in which it will be deployed."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,"As well as strengthening the foundations - data, skills, talent, IP, and assurance measures set out above - government should also focus on its role as a major user and customer of Al and how it uses its powers to catalyse private sector adoption: Adoption missions Public sector Public and private sector Private-sector users Adopt Al Scan->Pilot->Scale approach to deliver step-change in public-service quality 2 : Reinforce each other to amplify impact across the ecosystem ; ; Remove adoption barriers to drive growth and productivity Though we are still early in the development of the Al application layer - and all Al use should be tailored appropriately to the specific setting or sector in which it will be deployed."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,threat,e Automated threat and anomaly detection is already being responsibly deployed by police forces across the country and used to clean up social media.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,supporting the deployment,"For example, through the £21 million Al Diagnostics fund, Department for Health and Social Care (DHSC) is supporting the deployment of technologies in key, high-demand areas such as chest X-Ray and chest CT scans to enable faster diagnosis and treatment of lung cancer in over half of acute trusts in England."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,fund,"For example, through the £21 million Al Diagnostics fund, Department for Health and Social Care (DHSC) is supporting the deployment of technologies in key, high-demand areas such as chest X-Ray and chest CT scans to enable faster diagnosis and treatment of lung cancer in over half of acute trusts in England."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support the domestic startup and innovation,"Scaling these successes is essential, but will require us to think differently about procurement, especially if this activity is to support the domestic startup and innovation ecosystem."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,startup,"Scaling these successes is essential, but will require us to think differently about procurement, especially if this activity is to support the domestic startup and innovation ecosystem."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,"Scaling these successes is essential, but will require us to think differently about procurement, especially if this activity is to support the domestic startup and innovation ecosystem."
United Kingdom,AI-friendly,deregulatory or flexible governance,flexible/proportionate/risk-based regulation,2.0,flexible “Scan > Pilot > Scale” approach,Government should generally employ a flexible “Scan > Pilot > Scale” approach.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Investing,Scan Investing in building a deep and continually updated understanding of Al capabilities mapped to their highest impact challenges and opportunities.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"A faster, multi-stage gated and scaling Al procurement process that enables easy and quick access to small-scale funding for pilots and only layers bureaucratic controls as the investment-size gets larger."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"A faster, multi-stage gated and scaling Al procurement process that enables easy and quick access to small-scale funding for pilots and only layers bureaucratic controls as the investment-size gets larger."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Competitive,"Multi-staged “Competitive Flexible Procedures” should be https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 19/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK encouraged, and startups compensated for the rounds they make it through."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"Scale is essential if Al is to have a meaningful impact on productivity, effectiveness and citizen experience, as well as maximising government spending power."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,Ascaling service for successful pilots with senior support and central funding resource.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support rapid adoption,Mission-focussed national Al tenders to support rapid adoption across de-centralised systems led by the mission delivery boards.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Fund,"An example of tendering to enable scale is the NHS’s Al Diagnostic Fund allocating £21 million to twelve imaging networks, covering 66 NHS trusts across England, significantly speeding up the roll out of Al diagnostic tools nationwide."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,interoperability,"Mandating infrastructure interoperability, code reusability and open sourcing."
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,Procure smartly from the Al ecosystem as both its largest customer and as a market shaper.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,Innovative Al suppliers from the UK and around the world should be engaged to support demand and encourage investment.
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,“Contemplation” clauses should be included in contracts to ensure the government remains agile to a rapidly changing Al ecosystem by mandating that contractors regularly assess and adopt newer technologies.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support the adoption,"In the next 3 months, the Digital Centre of Government should identify a series of quick wins to support the adoption of the scan, pilot scale approach and enable public and private sector to reinforce each other."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"2.4 Address private-sector-user-adoption barriers Al adoption could grow the UK economy by an additional £400 billion by 2030 through enhancing innovation and productivity in the workplace, footnote 19] Safe, effective and swift Al adoption has the potential to enhance the international competitiveness of sectors of UK strength and unlock new growth opportunities across the whole economy, including for SMEs."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,competitiveness,"2.4 Address private-sector-user-adoption barriers Al adoption could grow the UK economy by an additional £400 billion by 2030 through enhancing innovation and productivity in the workplace, footnote 19] Safe, effective and swift Al adoption has the potential to enhance the international competitiveness of sectors of UK strength and unlock new growth opportunities across the whole economy, including for SMEs."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"2.4 Address private-sector-user-adoption barriers Al adoption could grow the UK economy by an additional £400 billion by 2030 through enhancing innovation and productivity in the workplace, footnote 19] Safe, effective and swift Al adoption has the potential to enhance the international competitiveness of sectors of UK strength and unlock new growth opportunities across the whole economy, including for SMEs."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,Safe,"2.4 Address private-sector-user-adoption barriers Al adoption could grow the UK economy by an additional £400 billion by 2030 through enhancing innovation and productivity in the workplace, footnote 19] Safe, effective and swift Al adoption has the potential to enhance the international competitiveness of sectors of UK strength and unlock new growth opportunities across the whole economy, including for SMEs."
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,support Al adoption,The development of a new Industrial Strategy presents an opportunity to drive collective action to support Al adoption across the economy.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,"The Industrial Strategy will need https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 21/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK to set out how Al adoption can best be supported in key industries, noting particular use cases that could boost productivity and present a particular competitive advantage while also identifying possible regulatory barriers and specific skills needs that need to be addressed."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,competitive,"The Industrial Strategy will need https:/Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 21/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK to set out how Al adoption can best be supported in key industries, noting particular use cases that could boost productivity and present a particular competitive advantage while also identifying possible regulatory barriers and specific skills needs that need to be addressed."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,Widespread adoption of Al can address regional disparities in growth and productivity.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,productivity,Widespread adoption of Al can address regional disparities in growth and productivity.
United Kingdom,AI-friendly,innovation and adoption promotion,promote AI innovation/adoption,2.0,"support business leaders, and also consider opportunities to accelerate Al adoption","To achieve this, government should leverage local trusted intermediaries and trade bodies to support business leaders, and also consider opportunities to accelerate Al adoption by working across supply chains."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investing,"Today’s Al systems have many limitations, but industry is investing at a scale that assumes capabilities will continue to grow rapidly."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"Frontier models in 2024 are trained with 10,000x more computing power than in 2019, and we are likely to see a similar rate of growth by 2029."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,safety,"Just as with previous technological revolutions, the people and countries who make decisions about how these systems operate and what values they reflect - including their approach to safety - will have huge influence over our lives."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,Section 1 covered the policy and infrastructure needed for the growth of the domestic Al sector.
United Kingdom,AI-friendly,open ecosystem and market access,open data/infrastructure/ecosystem,1.2,ecosystem,Section 2 covered the policies needed for widespread Al adoption - a necessary condition for a world-leading Al application ecosystem.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,invest,"It will support the private and academic sectors in doing what they do best, with the ability to collaborate internationally, create joint ventures, as well as invest in, incubate and spin out Al companies - refining its strategy and approach as the technology matures."
United Kingdom,AI-friendly,deregulatory or flexible governance,reduce regulatory burdens,2.5,remove barriers,"With a clear and powerful mandate the unit will play a critical coordinating role, able to remove barriers and make deals to maximise the UK’s chance of growing globally competitive national champions."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,competitive,"With a clear and powerful mandate the unit will play a critical coordinating role, able to remove barriers and make deals to maximise the UK’s chance of growing globally competitive national champions."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"Especially important will be Innovate UK, which should make Al a top priority and support the unit through the funding it provides to promising start-ups."
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,Early tolerance for scientific and technical risk can be hugely valuable.
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,funding,"For example, the unit or its public sector partners might join funding rounds or provide advanced market commitments to credible and ambitious startups in emerging fields of Al."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,capital,"https://Awww.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan 24/28 5/19/26, 6:25 PM Al Opportunities Action Plan - GOV.UK The use of these non-financial assets, alongside capital and procurement, will be critical to the unit's offer."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"UK Sovereign Al should lead the delivery of a government offer to new and existing frontier Al companies that includes: e Direct investment into companies, including promising start-ups as well as joint ventures with other commercial partners."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Growth,"e Delivering appropriate sites for compute in the UK, including through Al Growth Zones, and international partnerships to guarantee compute access from appropriate allies."
United Kingdom,AI-cautious,regulation as necessary,regulation required or necessary,2.5,"should ensure economic upside from, and influence on, governance","In exchange, UK Sovereign Al should ensure economic upside from, and influence on, governance of frontier Al for the UK."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,capital,It will need to commit to securing the physical infrastructure and human capital that will underpin all future Al developments.
United Kingdom,AI-cautious,risk and harm emphasis,risk/safety/harm framing,1.0,risk,"Instead, government will need to be prepared to absorb some risk in the context of uncertainty."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,leadership,"This will require a whole of government commitment, with senior and visible leadership and a relentless focus on driving progress."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,growth,"Nevertheless, the benefits are likely to be transformational, not just to support economic growth, but to people’s lives across the whole of the UK."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,investment,"Assuming trends in hardware performance continue, by 2030 each pound spent on GPUs will buy 8x more FLOP and require 4x less power, therefore expanding AIRR by 20x would require much less than a 20x increase in investment."
United Kingdom,AI-friendly,investment and competitiveness,investment/competitiveness/growth,1.0,Startup,"Startup Coalition, ‘Startup Manifesto 2024’ (https://drive.google.com/file/d/17ydUmqoW1QKWmQek0Q6Cf4T 2024."
